G, G, G, 1, 1, 1, 1, T, 1, 1, T, 1, 1, T, 3, T, 2, 1, G, G
2, 3, 2, 2, T, 1, 1, 1, 1, 1, 1, 1, 1, 3, T, 4, T, 2, 2, 1
T, T, T, 2, 1, 1, G, G, G, 1, 2, 2, G, 3, T, 4, 3, T, 2, T
3, 5, 4, 2, G, G, G, G, 1, 2, T, T, 3, T, 3, 3, T, 2, 2, 1
1, T, T, 1, G, G, G, G, 2, T, 4, 3, T, 2, 2, T, 2, 1, G, G
1, 2, 2, 2, 1, 1, G, G, 2, T, 2, 1, 1, 2, 2, 2, 1, G, G, G
G, 1, 1, 2, T, 1, 1, G, 2, 1, 1, G, G, 2, T, 3, 1, G, 1, 1
G, 2, T, 3, 2, 2, 1, T, 1, G, G, G, G, 2, T, T, 3, 2, G, T
T, 3, 1, 2, T, 1, 2, G, 3, 2, 1, 1, G, 1, 2, 4, T, T, 5, T
T, 3, 1, 2, 2, G, 2, T, T, 3, T, 2, 1, 1, G, 3, T, T, 5, T
1, 2, T, 1, 1, T, 2, 3, T, 3, 2, 3, T, 2, 1, G, T, 4, 4, T
G, 1, 1, 1, 1, 1, 2, 2, 2, 1, 1, T, 2, 2, T, 2, 1, 3, T, 3
G, G, G, G, G, 1, 2, T, 1, G, 1, 1, 1, 1, 1, 1, G, 2, T, 2
G, G, 1, 1, G, 1, T, 3, 2, G, G, G, G, G, G, G, G, 1, 1, 1
1, 1, 1, T, 1, 1, 3, T, 3, 1, 2, 1, 1, G, G, 1, 1, 1, G, G
T, 1, 1, 1, 1, G, 2, T, 4, T, 3, T, 1, 1, 2, G, T, 1, 1, 1
1, G, 1, 1, G, G, 1, 1, 4, T, 4, 1, 1, 1, T, T, 2, 1, 1, T
G, 2, T, 2, G, G, 1, 1, 3, T, 2, G, G, 1, 2, 3, 3, 2, 2, 1
G, 2, T, 2, G, G, 1, T, 3, 2, 1, 1, 1, 1, G, 1, T, T, 1, G
G, 1, 1, 1, G, G, 1, 2, T, 1, G, 1, T, 1, G, 1, 2, 2, 1, G
